feature,feature value,n_samples,precision,recall,fbeta
native-country,Vietnam,18,1.0,1.0,1.0
native-country,Cuba,13,0.5,0.5,0.5
native-country,Puerto-Rico,25,0.75,0.75,0.75
native-country,Honduras,5,1.0,1.0,1.0
native-country,Taiwan,10,1.0,1.0,1.0
native-country,Ireland,5,1.0,1.0,1.0
native-country,Greece,4,1.0,1.0,1.0
native-country,Peru,7,1.0,1.0,1.0
native-country,Yugoslavia,1,1.0,0.0,0.0
native-country,Hong,3,0.5,1.0,0.6666666666666666
native-country,Scotland,2,1.0,1.0,1.0
native-country,Nicaragua,3,1.0,1.0,1.0
native-country,Laos,3,1.0,1.0,1.0
native-country,Holand-Netherlands,1,1.0,1.0,1.0
